Name,Ticker,<date>,<open>,<high>,<low>,<close>,<vol>
Boxlight Corp Cl A,BOXL,20200911,1.51,1.5399,1.41,1.45,2466600
Boston Pvt Finl Hld,BPFH,20200911,5.64,5.67,5.5,5.64,520200
Blueprint Medicines Corp,BPMC,20200911,68.85,69.07,66.2,66.45,353300
Popular Inc,BPOP,20200911,36.32,36.66,35.65,36.59,415400
Popular Inc Trust II,BPOPM,20200911,25.75,25.911,25.75,25.911,1100
Popular Inc Trust,BPOPN,20200911,26.3424,26.3424,26.3424,26.3424,200
Bank of Princeton,BPRN,20200911,19.45,19.45,18.97,18.97,4700
Bio-Path Holdings,BPTH,20200911,4.1,4.17,3.84,3.89,46200
Brookfield Property Partners L,BPY,20200911,10.81,10.81,10.46,10.48,2555300
Brookfield Property Partners L.P. 5.75% Prf Perp,BPYPN,20200911,19.37,19.4456,19.37,19.37,1000
Brookfield Property Partners L.P. 6.375% Prf P,BPYPO,20200911,21.47,21.5502,21.47,21.5502,1000
Brookfield Property Partners LP Pfd Unit Ltd Par,BPYPP,20200911,21.65,22.01,21.65,21.81,16400
Brookfield Property REIT Inc,BPYU,20200911,10.71,10.83,10.46,10.47,995400
Brookfield Property REIT Inc 6.375% Series A,BPYUP,20200911,19.48,19.625,19.08,19.2,70500
Craft Brew Alliance,BREW,20200911,15.58,15.67,15.55,15.62,60800
Bridgford Foods Cp,BRID,20200911,17.34,17.34,17.34,17.34,500
Brookline Bancorp,BRKL,20200911,9.21,9.26,9.1,9.18,227400
Bruker Corp,BRKR,20200911,39.65,40.54,39.405,40.4,763600
Brooks Automation,BRKS,20200911,43.96,44.33,42.65,42.77,395000
Brilliant Acquisition Corp,BRLI,20200911,9.77,9.77,9.77,9.77,100
Brilliant Acquisition Corporation Rights,BRLIR,20200911,0.22,0.22,0.22,0.22,100
Brilliant Acquisition Corp,BRLIU,20200911,10.2,10.2,10.2,10.2,100
Brilliant Acquisition Corporation Warrants,BRLIW,20200911,0.25,0.28,0.186,0.186,1700
Brooge Holdings Ltd.,BROG,20200911,9.18,9.26,9.18,9.26,400
Brooge Holdings Ltd. Warrants,BROGW,20200911,0.47,0.5,0.39,0.4,33800
